index,Cust ID,Gender,Age,Age Group,Date,Month,Status,Channel,Category,Size,Qty,currency,Amount,ship-city,ship-state,ship-postal-code,ship-country,B2B
30,1326018,Men,26,Teenager,04-12-2022,Dec,Delivered,Amazon,Set,XS,1,INR,759,PRAYAGRAJ,UTTAR PRADESH,230304,IN,FALSE
31,9281717,Men,40,Adult,04-12-2022,Dec,Delivered,Amazon,Western Dress,XXL,1,INR,715,GREAT NICOBAR,ANDAMAN & NICOBAR ,744302,IN,FALSE
32,6866119,Men,52,Senior,04-12-2022,Dec,Delivered,Amazon,Western Dress,XXL,1,INR,885,AHMEDABAD,GUJARAT,380058,IN,FALSE
33,9400852,Women,38,Adult,04-12-2022,Dec,Delivered,Others,kurta,M,1,INR,301,SALEM,TAMIL NADU,636007,IN,FALSE
34,2606836,Men,39,Adult,04-12-2022,Dec,Delivered,Myntra,Set,XL,1,INR,1238,GUWAHATI,ASSAM,781020,IN,FALSE
35,8481179,Men,37,Adult,04-12-2022,Dec,Delivered,Amazon,Set,S,1,INR,856,CHENNAI,TAMIL NADU,600119,IN,FALSE
36,9686095,Women,73,Senior,04-12-2022,Dec,Delivered,Flipkart,Set,L,1,INR,650,VADODARA,GUJARAT,390021,IN,FALSE
37,9033015,Women,41,Adult,04-12-2022,Dec,Delivered,Amazon,kurta,XL,1,INR,449,Payyannur,KERALA,670309,IN,FALSE
38,6932218,Women,41,Adult,04-12-2022,Dec,Delivered,Myntra,Set,XS,1,INR,967,CHANDIGARH,CHANDIGARH,160036,IN,FALSE
39,8796291,Women,35,Adult,04-12-2022,Dec,Delivered,Amazon,kurta,XL,1,INR,399,GURUGRAM,HARYANA,122001,IN,FALSE
40,9654105,Women,72,Senior,04-12-2022,Dec,Delivered,Flipkart,Set,M,1,INR,969,MOHALI,PUNJAB,160062,IN,FALSE
41,637532,Men,39,Adult,04-12-2022,Dec,Delivered,Flipkart,Western Dress,L,1,INR,599,BENGALURU,KARNATAKA,560061,IN,FALSE
42,637532,Women,39,Adult,04-12-2022,Dec,Delivered,Amazon,Top,S,1,INR,545,PUNE,MAHARASHTRA,411051,IN,FALSE
43,3393819,Women,44,Adult,04-12-2022,Dec,Delivered,Myntra,Set,XS,1,INR,1115,PUNE,MAHARASHTRA,412207,IN,FALSE
44,5673590,Women,22,Teenager,04-12-2022,Dec,Delivered,Meesho,Set,XL,1,INR,648,SONIPAT,HARYANA,131001,IN,FALSE
45,5846829,Women,64,Senior,04-12-2022,Dec,Delivered,Flipkart,Set,S,1,INR,999,NELLORE,ANDHRA PRADESH,524002,IN,FALSE
46,4087298,Women,30,Adult,04-12-2022,Dec,Delivered,Amazon,Set,XXL,1,INR,563,TIRUCHIRAPPALLI,TAMIL NADU,620101,IN,FALSE
47,7694743,Women,46,Adult,04-12-2022,Dec,Delivered,Myntra,Set,S,1,INR,833,BENGALURU,KARNATAKA,562107,IN,FALSE
48,8068610,Women,48,Adult,04-12-2022,Dec,Delivered,Nalli,kurta,S,1,INR,487,PUNE,MAHARASHTRA,411014,IN,FALSE
49,7917674,Women,25,Teenager,04-12-2022,Dec,Delivered,Myntra,kurta,M,1,INR,292,VARANASI,UTTAR PRADESH,221010,IN,FALSE
50,2709798,Men,35,Adult,04-12-2022,Dec,Delivered,Others,Set,M,1,INR,558,UDUPI,KARNATAKA,574118,IN,FALSE
51,4213846,Women,27,Teenager,04-12-2022,Dec,Delivered,Amazon,Set,M,1,INR,664,HYDERABAD,TELANGANA,500039,IN,FALSE
52,7381557,Women,21,Teenager,04-12-2022,Dec,Delivered,Others,Set,M,1,INR,1112,Allahabad,UTTAR PRADESH,211001,IN,FALSE
53,817885,Women,43,Adult,04-12-2022,Dec,Delivered,Others,Top,S,1,INR,540,SOUTH DELHI,DELHI,110017,IN,FALSE
54,2439278,Men,39,Adult,04-12-2022,Dec,Delivered,Myntra,Set,XS,1,INR,698,KHALILABAD,UTTAR PRADESH,272175,IN,FALSE
55,8874360,Men,23,Teenager,04-12-2022,Dec,Delivered,Others,Set,XXL,1,INR,1115,NEW DELHI,DELHI,110016,IN,FALSE
56,4675134,Women,58,Senior,04-12-2022,Dec,Delivered,Meesho,Set,XXL,1,INR,507,HYDERABAD,TELANGANA,500008,IN,FALSE
57,9907523,Men,27,Teenager,04-12-2022,Dec,Delivered,Amazon,Set,XS,1,INR,916,SULTANPUR,UTTAR PRADESH,228001,IN,FALSE
58,9907523,Women,38,Adult,04-12-2022,Dec,Delivered,Amazon,Saree,Free,1,INR,737,MURWARA KATNI,MADHYA PRADESH,483501,IN,FALSE
59,7643005,Men,75,Senior,04-12-2022,Dec,Delivered,Flipkart,Set,3XL,1,INR,988,MUMBAI,MAHARASHTRA,400063,IN,FALSE
60,381223,Men,47,Adult,04-12-2022,Dec,Delivered,Meesho,Set,XL,1,INR,633,CHENNAI,TAMIL NADU,600066,IN,FALSE
61,8538186,Women,62,Senior,04-12-2022,Dec,Delivered,Amazon,Set,M,1,INR,899,MAHENDRAGARH,HARYANA,123029,IN,FALSE
62,1785530,Women,42,Adult,04-12-2022,Dec,Delivered,Amazon,kurta,6XL,1,INR,764,BENGALURU,KARNATAKA,560103,IN,FALSE
63,824767,Women,34,Adult,04-12-2022,Dec,Delivered,Others,kurta,3XL,1,INR,688,CHENNAI,TAMIL NADU,600061,IN,FALSE
64,8169153,Women,20,Teenager,04-12-2022,Dec,Delivered,Amazon,kurta,L,1,INR,399,Bangalore,KARNATAKA,560054,IN,FALSE
65,5169174,Women,44,Adult,04-12-2022,Dec,Cancelled,Myntra,kurta,XL,1,INR,399,KALYAN,MAHARASHTRA,421306,IN,FALSE
66,2130722,Women,24,Teenager,04-12-2022,Dec,Delivered,Myntra,Top,S,1,INR,563,AHMEDABAD,GUJARAT,382470,IN,FALSE
67,8399604,Women,31,Adult,04-12-2022,Dec,Delivered,Amazon,kurta,XL,1,INR,363,KOLKATA,WEST BENGAL,700028,IN,FALSE
68,8213196,Men,75,Senior,04-12-2022,Dec,Delivered,Myntra,Set,S,1,INR,667,BOKARO STEEL CITY,JHARKHAND,827001,IN,FALSE
69,3286680,Women,46,Adult,04-12-2022,Dec,Delivered,Myntra,Saree,Free,1,INR,685,Panchkula,HARYANA,134116,IN,FALSE
70,6014983,Men,48,Adult,04-12-2022,Dec,Delivered,Myntra,Set,S,1,INR,852,PUNE,MAHARASHTRA,411021,IN,FALSE
71,6950860,Women,26,Teenager,04-12-2022,Dec,Delivered,Amazon,Saree,Free,1,INR,1075,PATNA,BIHAR,801113,IN,FALSE
72,7030051,Women,36,Adult,04-12-2022,Dec,Delivered,Myntra,kurta,XXL,1,INR,563,NEW DELHI,DELHI,110084,IN,FALSE
73,6041386,Men,23,Teenager,04-12-2022,Dec,Delivered,Flipkart,Set,XXL,1,INR,1072,KALYAN,MAHARASHTRA,421201,IN,FALSE
74,7958450,Men,32,Adult,04-12-2022,Dec,Delivered,Amazon,Set,XS,1,INR,702,Bengaluru,KARNATAKA,560095,IN,FALSE
75,7814128,Women,26,Teenager,04-12-2022,Dec,Delivered,Nalli,Saree,Free,1,INR,476,NAVI MUMBAI,MAHARASHTRA,400705,IN,FALSE
76,9793483,Men,45,Adult,04-12-2022,Dec,Delivered,Myntra,Set,XL,1,INR,597,BENGALURU,KARNATAKA,560021,IN,FALSE
77,5297818,Women,49,Adult,04-12-2022,Dec,Delivered,Flipkart,Set,XL,1,INR,969,VARKALA,KERALA,695141,IN,FALSE
78,2070545,Women,21,Teenager,04-12-2022,Dec,Delivered,Flipkart,Set,XS,1,INR,801,BIKANER,RAJASTHAN,334001,IN,FALSE
79,1756314,Women,39,Adult,04-12-2022,Dec,Delivered,Myntra,kurta,XL,1,INR,481,GURUGRAM,HARYANA,122001,IN,FALSE
80,8786932,Men,55,Senior,04-12-2022,Dec,Delivered,Ajio,Set,M,1,INR,595,BHARUCH,GUJARAT,392001,IN,FALSE
81,8573929,Women,30,Adult,04-12-2022,Dec,Delivered,Flipkart,kurta,XXL,1,INR,458,MUMBAI,MAHARASHTRA,400097,IN,FALSE
82,8573929,Women,46,Adult,04-12-2022,Dec,Delivered,Amazon,kurta,M,1,INR,729,kolkata,WEST BENGAL,700082,IN,FALSE
83,8980704,Women,59,Senior,04-12-2022,Dec,Cancelled,Myntra,kurta,M,1,INR,345,NOIDA,UTTAR PRADESH,201304,IN,FALSE
84,2516658,Women,55,Senior,04-12-2022,Dec,Delivered,Flipkart,kurta,M,1,INR,481,CHENNAI,TAMIL NADU,600077,IN,FALSE
85,105497,Women,37,Adult,04-12-2022,Dec,Refunded,Amazon,kurta,S,1,INR,382,BHANDARA,MAHARASHTRA,441701,IN,FALSE
86,6468339,Men,19,Teenager,04-12-2022,Dec,Delivered,Amazon,Set,XS,1,INR,1036,MUMBAI,MAHARASHTRA,400093,IN,FALSE
87,6702100,Women,49,Adult,04-12-2022,Dec,Returned,Myntra,kurta,S,1,INR,322,NEW DELHI,DELHI,110084,IN,FALSE
88,6243782,Women,33,Adult,04-12-2022,Dec,Delivered,Amazon,kurta,L,1,INR,449,BHATKAL,KARNATAKA,581320,IN,FALSE
89,3641651,Men,22,Teenager,04-12-2022,Dec,Delivered,Amazon,Set,L,1,INR,573,MUMBAI,MAHARASHTRA,400098,IN,FALSE
90,7662369,Women,18,Teenager,04-12-2022,Dec,Delivered,Myntra,Set,S,1,INR,1163,RANCHI,JHARKHAND,834008,IN,FALSE
91,8575376,Women,32,Adult,04-12-2022,Dec,Delivered,Flipkart,Set,L,1,INR,737,HYDERABAD,TELANGANA,500020,IN,FALSE
92,7384618,Women,48,Adult,04-12-2022,Dec,Delivered,Flipkart,Set,L,1,INR,429,CHENNAI,TAMIL NADU,600051,IN,FALSE
93,7384618,Women,36,Adult,04-12-2022,Dec,Delivered,Myntra,kurta,XL,1,INR,471,VISAKHAPATNAM,ANDHRA PRADESH,530003,IN,FALSE
94,3542194,Women,20,Teenager,04-12-2022,Dec,Delivered,Amazon,Saree,Free,1,INR,307,Perambra,KERALA,673524,IN,FALSE
95,6859790,Women,48,Adult,04-12-2022,Dec,Delivered,Meesho,kurta,M,1,INR,631,GURUGRAM,HARYANA,122002,IN,FALSE
96,347306,Women,66,Senior,04-12-2022,Dec,Delivered,Amazon,kurta,M,1,INR,517,HYDERABAD,TELANGANA,500090,IN,FALSE
97,7048232,Women,60,Senior,04-12-2022,Dec,Delivered,Myntra,kurta,S,1,INR,427,HAMIRPUR,HIMACHAL PRADESH,177005,IN,FALSE
98,5516090,Men,47,Adult,04-12-2022,Dec,Delivered,Others,Western Dress,S,1,INR,855,Nayagarh,ODISHA,752069,IN,FALSE
99,294848,Women,19,Teenager,04-12-2022,Dec,Delivered,Flipkart,kurta,XXL,1,INR,376,BENGALURU,KARNATAKA,560075,IN,FALSE
100,6522716,Men,48,Adult,04-12-2022,Dec,Delivered,Amazon,kurta,L,1,INR,487,BENGALURU,KARNATAKA,562125,IN,FALSE
101,6522716,Men,78,Senior,04-12-2022,Dec,Delivered,Myntra,Set,M,1,INR,852,NEW DELHI,DELHI,110034,IN,FALSE
102,3094141,Women,40,Adult,04-12-2022,Dec,Delivered,Amazon,kurta,XXL,1,INR,771,TIRUCHIRAPPALLI,TAMIL NADU,620017,IN,FALSE
103,8966819,Women,38,Adult,04-12-2022,Dec,Delivered,Flipkart,kurta,M,1,INR,487,PUDUVAYAL,TAMIL NADU,630108,IN,FALSE
104,2716293,Women,21,Teenager,04-12-2022,Dec,Delivered,Amazon,kurta,XL,1,INR,472,HYDERABAD,TELANGANA,500045,IN,FALSE
105,9848998,Women,38,Adult,04-12-2022,Dec,Delivered,Amazon,Saree,Free,1,INR,790,UDAIPUR,RAJASTHAN,313001,IN,FALSE
106,6592212,Women,25,Teenager,04-12-2022,Dec,Delivered,Amazon,kurta,XS,1,INR,517,PUDUCHERRY,PUDUCHERRY,605004,IN,FALSE
107,5467416,Women,35,Adult,04-12-2022,Dec,Delivered,Flipkart,Set,3XL,1,INR,646,GREATER NOIDA,UTTAR PRADESH,201310,IN,FALSE
108,1265802,Women,23,Teenager,04-12-2022,Dec,Delivered,Amazon,Western Dress,XL,1,INR,743,SECUNDERABAD,TELANGANA,500011,IN,FALSE
109,9585512,Women,61,Senior,04-12-2022,Dec,Delivered,Myntra,kurta,XXL,1,INR,399,new delhi,DELHI,110063,IN,FALSE
110,6513430,Women,40,Adult,04-12-2022,Dec,Delivered,Flipkart,Set,M,1,INR,852,GREATER NOIDA,UTTAR PRADESH,201306,IN,FALSE
111,7694216,Men,32,Adult,04-12-2022,Dec,Delivered,Flipkart,Set,M,1,INR,759,MYSURU,KARNATAKA,570034,IN,FALSE
112,5911668,Women,31,Adult,04-12-2022,Dec,Delivered,Nalli,Top,XL,1,INR,493,NEW DELHI,DELHI,110059,IN,FALSE
113,5364170,Women,29,Teenager,04-12-2022,Dec,Delivered,Amazon,kurta,XXL,1,INR,458,JAIPUR,RAJASTHAN,303002,IN,FALSE
114,3614770,Women,27,Teenager,04-12-2022,Dec,Delivered,Amazon,kurta,M,1,INR,435,BIDAR,KARNATAKA,585401,IN,FALSE
115,1246579,Women,48,Adult,04-12-2022,Dec,Delivered,Amazon,Set,XS,1,INR,759,BABUGARH,UTTAR PRADESH,245201,IN,FALSE
116,6695683,Men,30,Adult,04-12-2022,Dec,Cancelled,Myntra,Set,L,1,INR,1043,THANE,MAHARASHTRA,400606,IN,FALSE
117,1994186,Men,71,Senior,04-12-2022,Dec,Delivered,Myntra,Set,M,1,INR,698,UDAIPUR,RAJASTHAN,313001,IN,FALSE
118,172471,Women,41,Adult,04-12-2022,Dec,Delivered,Flipkart,Top,S,1,INR,518,DOHAD,GUJARAT,389151,IN,FALSE
119,681598,Men,28,Teenager,04-12-2022,Dec,Delivered,Myntra,Western Dress,XXL,1,INR,625,Barasat,WEST BENGAL,700124,IN,FALSE
120,1388772,Women,19,Teenager,04-12-2022,Dec,Delivered,Flipkart,kurta,3XL,1,INR,499,INDORE,MADHYA PRADESH,452001,IN,FALSE
121,3131740,Women,25,Teenager,04-12-2022,Dec,Delivered,Myntra,Top,XS,1,INR,321,MUMBAI,MAHARASHTRA,400053,IN,FALSE
122,5496750,Women,57,Senior,04-12-2022,Dec,Delivered,Nalli,Set,XS,1,INR,845,NAGAUR,RAJASTHAN,341305,IN,FALSE
123,5496750,Women,73,Senior,04-12-2022,Dec,Delivered,Amazon,kurta,XS,1,INR,358,NEW DELHI,DELHI,110085,IN,FALSE
124,816846,Women,50,Senior,04-12-2022,Dec,Delivered,Flipkart,kurta,XL,1,INR,307,Coimbatore,TAMIL NADU,641031,IN,FALSE
125,278400,Women,31,Adult,04-12-2022,Dec,Delivered,Ajio,kurta,6XL,1,INR,692,NAVI MUMBAI,MAHARASHTRA,400701,IN,FALSE
126,8079606,Men,33,Adult,04-12-2022,Dec,Delivered,Ajio,Set,XS,1,INR,1099,NEW DELHI,DELHI,110003,IN,FALSE
127,4636514,Women,31,Adult,04-12-2022,Dec,Delivered,Myntra,Set,M,1,INR,1033,BARASAT,WEST BENGAL,700124,IN,FALSE
128,9847734,Women,44,Adult,04-12-2022,Dec,Delivered,Myntra,kurta,XS,1,INR,301,COIMBATORE,TAMIL NADU,641027,IN,FALSE
129,8860022,Women,26,Teenager,04-12-2022,Dec,Delivered,Myntra,Top,L,1,INR,625,RANCHI,JHARKHAND,834002,IN,FALSE
130,1669205,Women,25,Teenager,04-12-2022,Dec,Delivered,Myntra,kurta,M,1,INR,435,SANGAREDDY,TELANGANA,502001,IN,FALSE
131,6737238,Women,49,Adult,04-12-2022,Dec,Delivered,Amazon,kurta,3XL,1,INR,307,PUNE,MAHARASHTRA,411041,IN,FALSE
132,9605076,Men,59,Senior,04-12-2022,Dec,Delivered,Amazon,Set,L,1,INR,788,Buxar,BIHAR,802133,IN,FALSE
133,9542566,Women,21,Teenager,04-12-2022,Dec,Delivered,Amazon,Set,M,1,INR,999,KANJIKODE INDUSTRIAL AREA,KERALA,678623,IN,FALSE
134,1540604,Women,31,Adult,04-12-2022,Dec,Delivered,Amazon,kurta,XS,1,INR,852,HYDERABAD,TELANGANA,508126,IN,FALSE
135,9367631,Women,34,Adult,04-12-2022,Dec,Delivered,Amazon,Set,M,1,INR,999,ALLAHABAD,UTTAR PRADESH,211002,IN,FALSE
136,595996,Men,72,Senior,04-12-2022,Dec,Delivered,Amazon,Set,M,1,INR,1075,DIU,DADRA AND NAGAR,362520,IN,FALSE
137,8256896,Men,22,Teenager,04-12-2022,Dec,Delivered,Amazon,Set,S,1,INR,845,PATNA,BIHAR,801505,IN,FALSE
138,1064158,Men,35,Adult,04-12-2022,Dec,Delivered,Myntra,Set,S,1,INR,664,Yacharam,TELANGANA,501509,IN,FALSE
139,2727693,Women,31,Adult,04-12-2022,Dec,Delivered,Flipkart,Set,M,1,INR,1186,Kannur,KERALA,670304,IN,FALSE
140,6844452,Men,34,Adult,04-12-2022,Dec,Returned,Meesho,Set,XXL,1,INR,1258,Port blair,ANDAMAN & NICOBAR ,744103,IN,FALSE
141,6908439,Women,46,Adult,04-12-2022,Dec,Refunded,Amazon,kurta,XXL,1,INR,399,MUZAFFARNAGAR,UTTAR PRADESH,251001,IN,FALSE
142,9626742,Men,63,Senior,04-12-2022,Dec,Delivered,Amazon,Western Dress,M,1,INR,771,MANMAD,MAHARASHTRA,423104,IN,FALSE
143,9383537,Women,33,Adult,04-12-2022,Dec,Delivered,Amazon,kurta,XXL,1,INR,459,SURYAPET,TELANGANA,508213,IN,FALSE
144,6048785,Women,58,Senior,04-12-2022,Dec,Delivered,Amazon,kurta,L,1,INR,468,BENGALURU,KARNATAKA,560100,IN,FALSE
145,1040945,Women,27,Teenager,04-12-2022,Dec,Delivered,Flipkart,kurta,L,1,INR,475,PIMPRI CHINCHWAD,MAHARASHTRA,411033,IN,FALSE
146,8224545,Men,24,Teenager,04-12-2022,Dec,Delivered,Flipkart,Set,M,1,INR,967,Kollam,KERALA,691601,IN,FALSE
147,8391201,Men,45,Adult,04-12-2022,Dec,Delivered,Flipkart,Western Dress,L,1,INR,614,BENGALURU,KARNATAKA,560099,IN,FALSE
148,2036568,Women,22,Teenager,04-12-2022,Dec,Delivered,Amazon,Set,L,1,INR,788,Vadodara,GUJARAT,390024,IN,FALSE
149,131231,Women,42,Adult,04-12-2022,Dec,Returned,Nalli,Set,XS,1,INR,1173,BENGALURU,KARNATAKA,560004,IN,FALSE
150,131231,Women,18,Teenager,04-12-2022,Dec,Returned,Amazon,Top,M,1,INR,359,lucknow,UTTAR PRADESH,226010,IN,FALSE
151,5387048,Women,55,Senior,04-12-2022,Dec,Delivered,Nalli,Top,S,1,INR,625,SECUNDERABAD,TELANGANA,500017,IN,FALSE
152,4700322,Women,25,Teenager,04-12-2022,Dec,Returned,Amazon,Set,S,1,INR,1238,JAIPUR,RAJASTHAN,302017,IN,FALSE
153,4774074,Men,30,Adult,04-12-2022,Dec,Delivered,Amazon,Set,XXL,1,INR,927,LUCKNOW,UTTAR PRADESH,226021,IN,FALSE
154,4236224,Women,46,Adult,04-12-2022,Dec,Delivered,Amazon,kurta,XL,1,INR,424,GURUGRAM,HARYANA,122001,IN,FALSE
155,9698056,Men,27,Teenager,04-12-2022,Dec,Delivered,Myntra,Western Dress,L,1,INR,825,BENGALURU,KARNATAKA,560067,IN,FALSE
156,1092399,Women,46,Adult,04-12-2022,Dec,Returned,Amazon,Set,L,1,INR,545,BENGALURU,KARNATAKA,560037,IN,FALSE
157,1867708,Men,20,Teenager,04-12-2022,Dec,Delivered,Amazon,Set,XL,1,INR,729,PUNE,MAHARASHTRA,412207,IN,FALSE
158,7163849,Women,26,Teenager,04-12-2022,Dec,Returned,Myntra,Top,S,1,INR,497,ERNAKULAM,KERALA,682017,IN,FALSE
159,7372776,Men,49,Adult,04-12-2022,Dec,Delivered,Myntra,Western Dress,M,1,INR,625,MUMBAI,MAHARASHTRA,400078,IN,FALSE
160,7757271,Women,32,Adult,04-12-2022,Dec,Delivered,Myntra,kurta,S,1,INR,319,HARIDWAR,UTTARAKHAND,249405,IN,FALSE
161,6304030,Women,34,Adult,04-12-2022,Dec,Delivered,Myntra,Saree,Free,1,INR,729,MAHNAR BAZAR,BIHAR,844506,IN,FALSE
162,6304030,Women,28,Teenager,04-12-2022,Dec,Delivered,Flipkart,Saree,Free,1,INR,365,LALITPUR,UTTAR PRADESH,284403,IN,FALSE
163,7790665,Women,36,Adult,04-12-2022,Dec,Delivered,Ajio,Blouse,XXL,1,INR,563,BELAGAVI,KARNATAKA,590019,IN,FALSE
164,5595686,Women,73,Senior,04-12-2022,Dec,Delivered,Others,kurta,L,1,INR,399,NEW DELHI,DELHI,110067,IN,FALSE
165,8251665,Women,56,Senior,04-12-2022,Dec,Delivered,Flipkart,Set,S,1,INR,899,HYDERABAD,TELANGANA,500049,IN,FALSE
166,7054852,Men,73,Senior,04-12-2022,Dec,Delivered,Meesho,Set,XS,1,INR,525,BENGALURU,KARNATAKA,560025,IN,FALSE
167,1132538,Women,18,Teenager,04-12-2022,Dec,Delivered,Amazon,kurta,XL,1,INR,323,CHENNAI,TAMIL NADU,600014,IN,FALSE
168,2642921,Women,48,Adult,04-12-2022,Dec,Delivered,Ajio,Set,L,1,INR,1137,AHMEDABAD,GUJARAT,380002,IN,FALSE
169,6293095,Women,28,Teenager,04-12-2022,Dec,Delivered,Amazon,kurta,XXL,1,INR,582,SECUNDERABAD,TELANGANA,500056,IN,FALSE
170,2438137,Men,74,Senior,04-12-2022,Dec,Delivered,Others,Set,XL,1,INR,1083,MOHALI,PUNJAB,140307,IN,FALSE
171,6539984,Men,40,Adult,04-12-2022,Dec,Delivered,Flipkart,Set,S,1,INR,696,PUNE,MAHARASHTRA,411028,IN,FALSE
172,4740407,Men,71,Senior,04-12-2022,Dec,Delivered,Myntra,Western Dress,XXL,1,INR,842,HYDERABAD,TELANGANA,500089,IN,FALSE
173,9159866,Men,22,Teenager,04-12-2022,Dec,Delivered,Myntra,Set,XXL,1,INR,1229,KANPUR,UTTAR PRADESH,208011,IN,FALSE
174,1619866,Women,18,Teenager,04-12-2022,Dec,Cancelled,Myntra,Set,XL,1,INR,698,Hyderabad,TELANGANA,500034,IN,FALSE
175,6502399,Women,48,Adult,04-12-2022,Dec,Delivered,Myntra,kurta,XL,1,INR,435,MEERUT,UTTAR PRADESH,250001,IN,FALSE
176,7238770,Men,24,Teenager,04-12-2022,Dec,Delivered,Nalli,Set,L,1,INR,1442,COIMBATORE,TAMIL NADU,641018,IN,FALSE
177,1376871,Men,41,Adult,04-12-2022,Dec,Delivered,Others,Western Dress,XL,1,INR,899,HYDERABAD,TELANGANA,500028,IN,FALSE
178,8257154,Men,53,Senior,04-12-2022,Dec,Delivered,Myntra,Set,L,1,INR,597,UDAIPUR,RAJASTHAN,313001,IN,FALSE
179,4145340,Men,29,Teenager,04-12-2022,Dec,Delivered,Flipkart,Ethnic Dress,S,1,INR,362,Kolkata,WEST BENGAL,700033,IN,FALSE
180,9073647,Women,37,Adult,04-12-2022,Dec,Delivered,Amazon,kurta,3XL,1,INR,453,HYDERABAD,TELANGANA,500020,IN,FALSE
